MOBILE;1;PERSONNAGE;13;25
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;0;1
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;1;0
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;0;-1
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0
ACTION;6;DEPLACEMENT;-1;0

ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;1;0
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;0;-1
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;-1;0
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1
ACTION;7;DEPLACEMENT;0;1

ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;1;0
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;0;-1
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;-1;0
ACTION;8;DEPLACEMENT;0;1
ACTION;8;DEPLACEMENT;0;1
ACTION;8;DEPLACEMENT;0;1
ACTION;8;DEPLACEMENT;0;1
ACTION;8;DEPLACEMENT;0;1
ACTION;8;DEPLACEMENT;0;1
ACTION;8;DEPLACEMENT;0;1
ACTION;8;DEPLACEMENT;0;1

ACTION;9;DEPLACEMENT;0;1
ACTION;9;DEPLACEMENT;1;0
ACTION;9;DEPLACEMENT;0;1
ACTION;9;DEPLACEMENT;1;0
ACTION;9;DEPLACEMENT;1;0
ACTION;9;DEPLACEMENT;0;-1
ACTION;9;DEPLACEMENT;-1;0
ACTION;9;DEPLACEMENT;0;-1
ACTION;9;DEPLACEMENT;-1;0
ACTION;9;DEPLACEMENT;-1;0
